title,playcount,date,devices,traffic,content
Tokyo 2020: Table Tennis,53,2021-08-27,Desktop,Direct traffic,PI000017078
Tokyo 2020: Athletics,53,2021-08-27,Tablet,Direct traffic,PI000017074
Tokyo 2020: Athletics,53,2021-08-28,Desktop,Search engines,PI000017085
Tokyo 2020: Paralympics Live,52,2021-08-24,Smartphone,Search engines,IH000403359
Tokyo 2020: Paralympics Live,52,2021-08-24,Desktop,Search engines,IH000403359
Tokyo 2020: Paralympics Live,52,2021-08-27,Smartphone,Direct traffic,IH000403362
Tokyo 2020: Today At The Paralympics,52,2021-08-26,Desktop,Search engines,IH000403375
Tokyo 2020: Goalball,52,2021-08-28,Smartphone,Direct traffic,PI000017083
Tokyo 2020: Equestrian,52,2021-08-28,Smartphone,Direct traffic,PI000017087
Tokyo 2020: Canoe,52,2021-09-03,Smartphone,Direct traffic,PI000017123
Tokyo 2020: Today At The Paralympics,51,2021-08-30,Desktop,Search engines,IH000403379
Tokyo 2020: Today At The Paralympics,51,2021-08-31,Desktop,Search engines,IH000403380
Tokyo 2020: Today At The Paralympics,51,2021-09-05,Tablet,Direct traffic,IH000403385
Tokyo 2020: Goalball,51,2021-08-28,Desktop,Direct traffic,PI000017083
Tokyo 2020: Athletics,51,2021-08-29,Desktop,Search engines,PI000017088
Tokyo 2020: Wheelchair Basketball,51,2021-08-31,Desktop,Direct traffic,PI000017102
Tokyo 2020: Today At The Paralympics,50,2021-08-24,Smartphone,Direct traffic,IH000403373
Tokyo 2020: Today At The Paralympics,50,2021-08-26,Desktop,Search engines,IH000403375
